consecutivo,CódigoLIAC,Sitio,CodigoJBM,CodigoJBM,Especie,Unidades,Elemento,Resultado,Unidades,Estrato,Contaminación,Susceptibilidad promedio
337,15113,Pedro Justo Berrío,PJE1Ti27,PJE1Ti,Tillandsia,mg/kg,Cr,Cr=12.32,12.32,E1,Media,0.338039
413,15120,San Cristóbal,SCE2Ti34,SCE2Ti,Tillandsia,mg/kg,Cu,Cu=13.10,13.1,E2,Control,0.2872344
390,15118,Poblado,POE4Ti32,POE4Ti,Tillandsia,mg/kg,Cr,Cr=14.66,14.66,E4,Alta,0.7284768
369,15116,Pedro Justo Berrío,PJE4Ti30,PJE4Ti,Tillandsia,mg/kg,Cr,Cr=16.26,16.26,E4,Media,0.895564857142857
302,15110,Carlos E. Restrepo,CEE2Ti24,CEE2Ti,Tillandsia,mg/kg,Cr,Cr=18.27,18.27,E2,Alta,0.8464728
348,15114,Pedro Justo Berrío,PJE2Ti28,PJE2Ti,Tillandsia,mg/kg,Cu,Cu=19.12,19.12,E2,Media,0.3642116
359,15115,Pedro Justo Berrío,PJE3Ti29,PJE3Ti,Tillandsia,mg/kg,Cu,Cu=19.44,19.44,E3,Media,0.25829
379,15117,Poblado,POE3Ti31,POE3Ti,Tillandsia,mg/kg,Cr,Cr=20.33,20.33,E3,Alta,0.478188
370,15116,Pedro Justo Berrío,PJE4Ti30,PJE4Ti,Tillandsia,mg/kg,Cu,Cu=25.10,25.1,E4,Media,0.895564857142857
338,15113,Pedro Justo Berrío,PJE1Ti27,PJE1Ti,Tillandsia,mg/kg,Cu,Cu=25.12,25.12,E1,Media,0.338039
322,15112,Copacabana,CPE4Ti26,CPE4Ti,Tillandsia,mg/kg,Ba,Ba=25.32,25.32,E4,Control,0.051254
309,15111,Copacabana,CPE3Ti25,CPE3Ti,Tillandsia,mg/kg,Ba,Ba=25.78,25.78,E3,Control,0.03692275
292,15109,Carlos E. Restrepo,CEE1Ti23,CEE1Ti,Tillandsia,mg/kg,Cr,Cr=26.20,26.2,E1,Alta,18791588
409,15120,San Cristóbal,SCE2Ti34,SCE2Ti,Tillandsia,mg/kg,Ba,Ba=31.15,31.15,E2,Control,0.2872344
389,15118,Poblado,POE4Ti32,POE4Ti,Tillandsia,mg/kg,Cu,Cu=33.73,33.73,E4,Alta,0.7284768
303,15110,Carlos E. Restrepo,CEE2Ti24,CEE2Ti,Tillandsia,mg/kg,Cu,Cu=40.33,40.33,E2,Alta,0.8464728
396,15119,San Cristóbal,SCE1Ti33,SCE1Ti,Tillandsia,mg/kg,Ba,Ba=42.02,42.02,E1,Control,0.039336
380,15117,Poblado,POE3Ti31,POE3Ti,Tillandsia,mg/kg,Cu,Cu=42.48,42.48,E3,Alta,0.478188
293,15109,Carlos E. Restrepo,CEE1Ti23,CEE1Ti,Tillandsia,mg/kg,Cu,Cu=43.41,43.41,E1,Alta,18791588
344,15114,Pedro Justo Berrío,PJE2Ti28,PJE2Ti,Tillandsia,mg/kg,Ba,Ba=56.71,56.71,E2,Media,0.3642116
366,15116,Pedro Justo Berrío,PJE4Ti30,PJE4Ti,Tillandsia,mg/kg,Ba,Ba=71.68,71.68,E4,Media,0.895564857142857
334,15113,Pedro Justo Berrío,PJE1Ti27,PJE1Ti,Tillandsia,mg/kg,Ba,Ba=73.86,73.86,E1,Media,0.338039
386,15118,Poblado,POE4Ti32,POE4Ti,Tillandsia,mg/kg,Ba,Ba=85.12,85.12,E4,Alta,0.7284768
355,15115,Pedro Justo Berrío,PJE3Ti29,PJE3Ti,Tillandsia,mg/kg,Ba,Ba=90.66,90.66,E3,Media,0.25829
299,15110,Carlos E. Restrepo,CEE2Ti24,CEE2Ti,Tillandsia,mg/kg,Ba,Ba=104.08,104.08,E2,Alta,0.8464728
376,15117,Poblado,POE3Ti31,POE3Ti,Tillandsia,mg/kg,Ba,Ba=121.76,121.76,E3,Alta,0.478188
289,15109,Carlos E. Restrepo,CEE1Ti23,CEE1Ti,Tillandsia,mg/kg,Ba,Ba=146.34,146.34,E1,Alta,18791588
